ETF,2025-04-30 0:00,2025-03-31 0:00,2025-02-28 0:00,2025-01-31 0:00,2024-12-31 0:00,2024-11-30 0:00,2024-10-31 0:00,2024-09-30 0:00,2024-08-30 0:00,2024-07-31 0:00,2024-06-28 0:00,2024-05-31 0:00,2024-04-30 0:00,2024-03-28 0:00,2024-02-29 0:00,2024-01-31 0:00,2023-12-29 0:00,2023-11-30 0:00,2023-10-31 0:00,2023-09-29 0:00,2023-08-31 0:00,2023-07-31 0:00,2023-06-30 0:00,2023-05-31 0:00,2023-04-28 0:00,2023-03-31 0:00,2023-02-28 0:00,2023-01-31 0:00,2022-12-31 0:00,2022-11-30 0:00,2022-10-31 0:00,2022-09-30 0:00,2022-08-31 0:00,2022-07-31 0:00,2022-06-30 0:00,2022-05-31 0:00,2022-04-30 0:00,2022-03-31 0:00,2022-02-28 0:00,2022-01-31 0:00,2021-12-31 0:00,2021-11-30 0:00,2021-10-31 0:00,2021-09-30 0:00,2021-08-31 0:00
ZGLH CN Equity,85320716.04,20888665.52,16709170.15,14172360.55,8760974.725,8661566.874,4443173.46,4146902.054,3962344.44,3912757.776,3723523.377,3743176.326,3708353.622,1752275.858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RCNS CN Equity,32012149.81,17622683.31,9652225.01,7999735.368,4469919.864,3046335.804,1591911.404,3025171.857,2893546.777,2799659.479,1362576.762,1373744.179,1350789.819,1296422.485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RCOR CN Equity,204199514.8,31695801.39,25023120.12,23805689.62,22576509.28,21946028.21,21769325.83,19808259.58,17686845.28,5109724.998,5067824.841,4027000.046,996574.9741,1507207.489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RPLS CN Equity,139468676,202298444.4,197531150,173381071.8,97719376.09,91471598.05,83750018.84,74040163.31,56668427.47,50385720.86,37538350.68,23158009.62,12942279.72,2515000.105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARTI CN Equity,9857484.865,136482115.8,131465251.9,120966297.1,134908507.4,109688677.9,70024349.48,68348231.62,45478486.65,41693519.44,38976245.55,7043260.002,4475992.298,1508377.504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLVC CN Equity,76540653.99,8677480.268,9688555.145,9693039.703,7698989.82,7418905.067,5903424.74,6461880.112,6235799.789,6024060.059,4829489.851,3475220.06,2333575.01,1977700.043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLVU CN Equity,11283403.4,67479831.89,56202482.6,54132536.32,54102287.29,40700741.29,14324961.66,2207300.758,2150771.523,2093443.489,1996010.59,2019867.516,1960189.819,2018967.819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLVI CN Equity,37918075.56,9711984.253,7301863.289,7002982.521,5714196.682,3562519.455,2271093.178,3376796.722,2215189.171,2173991.013,2008711.433,2024624.825,2008631.325,2037357.521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO CN Equity,61369715.17,25696170.62,15829324.91,13178323.75,12642747.12,10509243.97,4226454.926,4303972.244,4229152.679,4198235.321,3948322.678,4095093.918,3973248.672,4007167.053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZAPR CN Equity,98883624.73,55438615.99,44433779.91,43830188.51,40716114.52,39652199.27,33221211.43,31285053.73,30407514,29346380.62,23746984.24,21284129.33,19830299.38,1003499.985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FGOV CN Equity,7296628.952,34197813.18,14748994.61,15549723.36,16170011.44,17022101.59,16687035.54,18315121.17,18147387.69,17894157.73,17737417.84,15235505.06,13358189.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TBCE CN Equity,94950784.84,7371417.046,6370479.584,6307447.243,6243898.773,6324611.664,6220515.633,5257863.998,5177540.302,2068046.188,2023148.727,1002715.588,991232.2998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TBCF CN Equity,92379096.53,94979826.05,112276831.8,112255204.8,111138885.5,113084654.4,106812610.2,100590879.4,94127626.42,77806399.23,55305174.64,34107868.65,16004664.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TBCG CN Equity,143033803.1,81967333.83,69375961.53,62062326.05,66932886.12,66815761.95,59474112.09,55444728.24,51891974.72,42634255.37,36213780.21,21038349.61,9979026.794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
